Date,2015-05-01,
INDEX VALUE,1000.0000,
EFFECTIVE DATE,TICKER,NAME,ISIN,INDEX SHARES,PRICE,CURRENCY FACTOR,
2015-05-01,AXSB IN Equity,AXSB IN Equity,INE238A01034,2,535,63.145000,
2015-05-01,MM IN Equity,MM IN Equity,INE101A01026,2,1182.2,63.145000,
2015-05-01,CAIR IN Equity,CAIR IN Equity,INE910H01017,2,213.65,63.145000,
2015-05-01,BJAUT IN Equity,BJAUT IN Equity,INE917I01010,2,1990.15,63.145000,
2015-05-01,APNT IN Equity,APNT IN Equity,INE021A01026,2,765.45,63.145000,
2015-05-01,ADSEZ IN Equity,ADSEZ IN Equity,INE742F01042,2,306.1,63.145000,
2015-05-01,NEST IN Equity,NEST IN Equity,INE239A01016,2,6836.85,63.145000,
2015-05-01,LPC IN Equity,LPC IN Equity,INE326A01037,2,1721.75,63.145000,
2015-05-01,POWF IN Equity,POWF IN Equity,INE134E01011,2,270.8,63.145000,
2015-05-01,DABUR IN Equity,DABUR IN Equity,INE016A01026,2,259.1,63.145000,
2015-05-01,RECL IN Equity,RECL IN Equity,INE020B01018,2,317.15,63.145000,
2015-05-01,TTAN IN Equity,TTAN IN Equity,INE280A01028,2,386.15,63.145000,
2015-05-01,IIB IN Equity,IIB IN Equity,INE095A01012,2,827.7,63.145000,
2015-05-01,GCPL IN Equity,GCPL IN Equity,INE102D01028,2,1098.15,63.145000,
2015-05-01,CDH IN Equity,CDH IN Equity,INE010B01019,2,1661.7,63.145000,
2015-05-01,EIM IN Equity,EIM IN Equity,INE066A01013,2,15175.05,63.145000,
2015-05-01,YES IN Equity,YES IN Equity,INE528G01019,2,826.45,63.145000,
2015-05-01,SHTF IN Equity,SHTF IN Equity,INE721A01013,2,991.25,63.145000,
2015-05-01,SUNTV IN Equity,SUNTV IN Equity,INE424H01027,2,349.7,63.145000,
2015-05-01,PIDI IN Equity,PIDI IN Equity,INE318A01026,2,560.25,63.145000,
2015-05-01,LICHF IN Equity,LICHF IN Equity,INE115A01026,2,438.25,63.145000,
2015-05-01,MRCO IN Equity,MRCO IN Equity,INE196A01026,2,400.05,63.145000,
2015-05-01,EMBR3 BZ Equity,EMBR3 BZ Equity,BREMBRACNOR4,2,22.71,2.937300,
2015-05-01,VIVT4 BZ Equity,VIVT4 BZ Equity,BRVIVTACNPR7,2,49.88,2.937300,
2015-05-01,OIBR3 BZ Equity,OIBR3 BZ Equity,BROIBRACNOR1,2,5.78,2.937300,
2015-05-01,CMIG4 BZ Equity,CMIG4 BZ Equity,BRCMIGACNPR3,2,14.9,2.937300,
2015-05-01,CPFE3 BZ Equity,CPFE3 BZ Equity,BRCPFEACNOR0,2,20.97,2.937300,
2015-05-01,ELET3 BZ Equity,ELET3 BZ Equity,BRELETACNOR6,2,7.79,2.937300,
2015-05-01,CESP6 BZ Equity,CESP6 BZ Equity,BRCESPACNPB4,2,24.4,2.937300,
2015-05-01,TBLE3 BZ Equity,TBLE3 BZ Equity,BRTBLEACNOR2,2,35.98,2.937300,
2015-05-01,GETI3 BZ Equity,GETI3 BZ Equity,BRGETIACNOR7,2,14.7,2.937300,
2015-05-01,WEGE3 BZ Equity,WEGE3 BZ Equity,BRWEGEACNOR0,2,15.7,2.937300,
2015-05-01,POMO4 BZ Equity,POMO4 BZ Equity,BRPOMOACNPR7,2,2.78,2.937300,
2015-05-01,RAPT4 BZ Equity,RAPT4 BZ Equity,BRRAPTACNPR4,2,4.04,2.937300,
2015-05-01,VALE3 BZ Equity,VALE3 BZ Equity,BRVALEACNOR0,2,22.55,2.937300,
2015-05-01,GGBR4 BZ Equity,GGBR4 BZ Equity,BRGGBRACNPR8,2,10.12,2.937300,
2015-05-01,CSNA3 BZ Equity,CSNA3 BZ Equity,BRCSNAACNOR6,2,7.89,2.937300,
2015-05-01,UGPA3 BZ Equity,UGPA3 BZ Equity,BRUGPAACNOR8,2,66.9,2.937300,
2015-05-01,BRML3 BZ Equity,BRML3 BZ Equity,BRBRMLACNOR9,2,17.4,2.937300,
2015-05-01,MULT3 BZ Equity,MULT3 BZ Equity,BRMULTACNOR5,2,54.11,2.937300,
2015-05-01,BRPR3 BZ Equity,BRPR3 BZ Equity,BRBRPRACNOR9,2,11.67,2.937300,
2015-05-01,RENT3 BZ Equity,RENT3 BZ Equity,BRRENTACNOR4,2,35.25,2.937300,
2015-05-01,JSLG3 BZ Equity,JSLG3 BZ Equity,BRJSLGACNOR2,2,11.03,2.937300,
2015-05-01,CCRO3 BZ Equity,CCRO3 BZ Equity,BRCCROACNOR2,2,16.46,2.937300,
2015-05-01,ECOR3 BZ Equity,ECOR3 BZ Equity,BRECORACNOR8,2,9.01,2.937300,
2015-05-01,ARTR3 BZ Equity,ARTR3 BZ Equity,BRARTRACNOR3,2,8.25,2.937300,
2015-05-01,SBSP3 BZ Equity,SBSP3 BZ Equity,BRSBSPACNOR5,2,17.8,2.937300,
2015-05-01,CSMG3 BZ Equity,CSMG3 BZ Equity,BRCSMGACNOR5,2,18.47,2.937300,
2015-05-01,TIMP3 BZ Equity,TIMP3 BZ Equity,BRTIMPACNOR1,2,9.98,2.937300,
2015-05-01,KRB IN Equity,KRB IN Equity,INE001B01026,2,166.65,63.145000,
2015-05-01,COXK IN Equity,COXK IN Equity,INE008I01026,2,318.75,63.145000,
2015-05-01,THEAL IN Equity,THEAL IN Equity,INE040M01013,2,390.8,63.145000,
2015-05-01,IH IN Equity,IH IN Equity,INE053A01029,2,109,63.145000,
2015-05-01,VIP IN Equity,VIP IN Equity,INE054A01027,2,98.3,63.145000,
2015-05-01,NELI IN Equity,NELI IN Equity,INE060A01024,2,95.8,63.145000,
2015-05-01,FORH IN Equity,FORH IN Equity,INE061F01013,2,150.25,63.145000,
2015-05-01,EVRIN IN Equity,EVRIN IN Equity,INE128A01029,2,281.45,63.145000,
2015-05-01,RLXF IN Equity,RLXF IN Equity,INE131B01039,2,694.75,63.145000,
2015-05-01,TI IN Equity,TI IN Equity,INE149A01025,2,364.5,63.145000,
2015-05-01,BATA IN Equity,BATA IN Equity,INE176A01010,2,1018.2,63.145000,
2015-05-01,HAVL IN Equity,HAVL IN Equity,INE176B01034,2,276.75,63.145000,
2015-05-01,PVRL IN Equity,PVRL IN Equity,INE191H01014,2,618.4,63.145000,
2015-05-01,BJE IN Equity,BJE IN Equity,INE193E01025,2,228.15,63.145000,
2015-05-01,SI IN Equity,SI IN Equity,INE195A01028,2,649.75,63.145000,
2015-05-01,KJC IN Equity,KJC IN Equity,INE217B01028,2,720.25,63.145000,
2015-05-01,SYML IN Equity,SYML IN Equity,INE225D01027,2,2109.65,63.145000,
2015-05-01,EIH IN Equity,EIH IN Equity,INE230A01023,2,104.4,63.145000,
2015-05-01,FNXC IN Equity,FNXC IN Equity,INE235A01022,2,275.3,63.145000,
